# Tomato32 opcode reference — instruction word is 32-bit big-endian in EEPROM
# Layout: [31:24]=opcode  [23:16]=rA  [15:8]=rB/imm-high  [7:0]=rd (+ bit0=abs/rel for jumps/branches)
# PC target: IR[0]=0 absolute (use bits[23:0] as address)  IR[0]=1 PC-relative (PC + bits[23:0])
# ADDI imm12: immediate = byte2 >> 4  (e.g. byte2=0xA0 -> imm=10)  example word: 0x1000A001 = ADDI R1,R0,#10
# Branch taken when sc_branch COND=IR[2:0] selects a set flag (see branch_when column)
#
opcode,mnemonic,group,operation,syntax,writes_reg,updates_flags,branch_when,notes
0x1D,MOVI16,alu-imm,Move immediate,"MOVI R{rd}, #{imm16s}",yes,no,,16-bit constant load
0x1E,SLT,alu-reg,Set if less than (signed),"SLT R{rd}, R{rA}, R{rB}",yes,yes,,rd = (rA < rB) ? 1 : 0
0x1F,SLTU,alu-reg,Set if less than (unsigned),"SLTU R{rd}, R{rA}, R{rB}",yes,yes,,rd = (rA <u rB) ? 1 : 0
0x20,LSL,shift,Logical shift left by register,"LSL R{rd}, R{rA}, R{rB}",yes,no,,Shift amount = rB[4:0]
0x21,LSR,shift,Logical shift right by register,"LSR R{rd}, R{rA}, R{rB}",yes,no,,Shift amount = rB[4:0]
0x22,ASR,shift,Arithmetic shift right by register,"ASR R{rd}, R{rA}, R{rB}",yes,no,,Shift amount = rB[4:0]
0x23,ROR,shift,Rotate right by register,"ROR R{rd}, R{rA}, R{rB}",yes,no,,Shift amount = rB[4:0]
0x24,LSLI,shift,Logical shift left immediate,"LSLI R{rd}, R{rA}, #{shamt}",yes,no,,shamt in immediate field
0x25,LSRI,shift,Logical shift right immediate,"LSRI R{rd}, R{rA}, #{shamt}",yes,no,,shamt in immediate field
0x26,ASRI,shift,Arithmetic shift right immediate,"ASRI R{rd}, R{rA}, #{shamt}",yes,no,,shamt in immediate field
0x27,RORI,shift,Rotate right immediate,"RORI R{rd}, R{rA}, #{shamt}",yes,no,,shamt in immediate field
0x30,LW,load,Load word from memory,"LW R{rd}, [R{rB}+#{off12}]",yes,no,,mem word; 2-cycle
0x31,LH,load,Load halfword signed,"LH R{rd}, [R{rB}+#{off12}]",yes,no,,sign-extends half
0x32,LHU,load,Load halfword unsigned,"LHU R{rd}, [R{rB}+#{off12}]",yes,no,,zero-extends half
0x33,LB,load,Load byte signed,"LB R{rd}, [R{rB}+#{off12}]",yes,no,,sign-extends byte
0x34,LBU,load,Load byte unsigned,"LBU R{rd}, [R{rB}+#{off12}]",yes,no,,zero-extends byte
0x35,LW0,load,Load word indirect,"LW R{rd}, [R{rB}]",yes,no,,No offset; reg indirect
0x40,SW,store,Store word to memory,"SW R{rA}, [R{rB}+#{off12}]",no,no,,mem word; 2-cycle
0x41,SH,store,Store halfword,"SH R{rA}, [R{rB}+#{off12}]",no,no,,Stores low 16 bits
0x42,SB,store,Store byte,"SB R{rA}, [R{rB}+#{off12}]",no,no,,Stores low 8 bits
0x43,SW0,store,Store word indirect,"SW R{rA}, [R{rB}]",no,no,,No offset; reg indirect
0x50,BEQ,branch,Branch if equal (semantic),"BEQ R{rA}, R{rB}, #{target}",no,no,FLAG_Z=1,COND=IR[2:0]=0; abs if IR[0]=0 else PC+offset; run CMP/SUB first to set Z
0x51,BNE,branch,Branch if not equal (microcode name),"BNE R{rA}, R{rB}, #{target}",no,no,FLAG_C=1,COND=IR[2:0]=1 — hardware tests C not Z; use 0x54 for Z=0 branch
0x52,BLT,branch,Branch if less than (microcode name),"BLT R{rA}, R{rB}, #{target}",no,no,FLAG_N=1,COND=IR[2:0]=2 — hardware tests N not signed-compare
0x53,BGE,branch,Branch if greater or equal (microcode name),"BGE R{rA}, R{rB}, #{target}",no,no,FLAG_O=1,COND=IR[2:0]=3
0x54,BLTU,branch,Branch if less than unsigned (microcode name),"BLTU R{rA}, R{rB}, #{target}",no,no,FLAG_Z=0,COND=IR[2:0]=4 (~Z); actually branches when Z=0
0x55,BGEU,branch,Branch if greater/equal unsigned (microcode name),"BGEU R{rA}, R{rB}, #{target}",no,no,FLAG_C=0,COND=IR[2:0]=5 (~C)
0x56,BLEZ,branch,Branch if less or equal zero (microcode name),"BLEZ R{rA}, #{target}",no,no,FLAG_N=0,COND=IR[2:0]=6 (~N)
0x57,BGTZ,branch,Branch if greater than zero (microcode name),"BGTZ R{rA}, #{target}",no,no,FLAG_O=0,COND=IR[2:0]=7 (~O)
0x60,JAL,jump,Jump and link,"JAL R{rd}, #{target24}",yes,no,,Saves PC+1 to rd; abs/rel via IR[0]
0x61,JALR,jump,Jump register and link,"JALR R{rd}, R{rB}, #{off12}",yes,no,,Target = rB + offset
0x62,JMP,jump,Unconditional jump,"JMP #{target26x4}",no,no,,Example abs: 0x62000002  rel: 0x62000003 (IR[0]=1)
0x63,JR,jump,Jump register,"JR R{rB}",no,no,,PC = rB
0x64,RET,jump,Return,"RET",no,no,,Jump via return address path (ADDR_RET)
0x70,PUSH,stack,Push register to stack,"PUSH R{rA}",no,no,,SP -= 4; mem[SP] = rA
0x71,POP,stack,Pop register from stack,"POP R{rd}",yes,no,,rd = mem[SP]; SP += 4
0x72,CALL,stack,Call subroutine,"CALL #{target24}",yes,no,,Push PC then jump
0x73,RTS,stack,Return from subroutine,"RTS",no,no,,Pop PC and jump
0x80,MUL,muldiv,Signed multiply low,"MUL R{rd}, R{rA}, R{rB}",yes,no,,rd = low 32 of rA * rB
0x81,MULH,muldiv,Signed multiply high,"MULH R{rd}, R{rA}, R{rB}",yes,no,,rd = high 32 of signed product
0x82,MULHU,muldiv,Unsigned multiply high,"MULHU R{rd}, R{rA}, R{rB}",yes,no,,rd = high 32 of unsigned product
0x83,MULHSU,muldiv,Signed×unsigned multiply high,"MULHSU R{rd}, R{rA}, R{rB}",yes,no,,Mixed-sign high product
0x84,MFHI,muldiv,Move from HI register,"MFHI R{rd}",yes,no,,Read mul/div high result
0x85,MULI,muldiv,Multiply immediate,"MULI R{rd}, R{rA}, #{imm16s}",yes,no,,Signed multiply by immediate
0x90,DIV,muldiv,Signed divide quotient,"DIV R{rd}, R{rA}, R{rB}",yes,no,,rd = rA / rB (signed)
0x91,DIVU,muldiv,Unsigned divide quotient,"DIVU R{rd}, R{rA}, R{rB}",yes,no,,rd = rA / rB (unsigned)
0x92,REM,muldiv,Signed remainder,"REM R{rd}, R{rA}, R{rB}",yes,no,,rd = rA % rB (signed)
0x93,REMU,muldiv,Unsigned remainder,"REMU R{rd}, R{rA}, R{rB}",yes,no,,rd = rA % rB (unsigned)
0xA0,CSRR,flags,Read flags to register,"CSRR R{rd}",yes,no,,Copies flag status word
0xA1,CSRW,flags,Write flags from register,"CSRW R{rA}",no,yes,,Future / partial
0xA2,CLZ,flags,Count leading zeros,"CLZ R{rd}, R{rA}",yes,no,,Future / partial
